Date,Event,Title,City,Gate,Buyrate,COVID
7/19/2014,UFC Fight Night,McGregor vs. Brandao,"Dublin, Ireland",1400000,NULL,0
1/18/2015,UFC Fight Night,McGregor vs Siver,"Boston, Massachusetts",1340000,NULL,0
7/11/2015,UFC 189,Mendes vs. McGregor,"Las Vegas, Nevada",7200000,825000,0
12/12/2015,UFC 194,Aldo vs. McGregor,"Las Vegas, Nevada",10000000,1200000,0
3/5/2016,UFC 196,McGregor vs. Diaz,"Las Vegas, Nevada",8100000,1317000,0
8/20/2016,UFC 202,Diaz vs. McGregor 2,"Las Vegas, Nevada",7700000,1650000,0
11/12/2016,UFC 205,Alvarez vs. McGregor,"New York City, New York",17700000,1300000,0
10/6/2018,UFC 229,Khabib vs. McGregor,"Las Vegas, Nevada",17200000,2400000,0
1/18/2020,UFC 246,McGregor vs. Cerrone,"Las Vegas, Nevada",11100000,1350000,0
1/23/2021,UFC 257,Poirier vs. McGregor 2,"Abu Dhabi, United Arab Emirates",NULL,1500000,1
7/10/2021,UFC 264,Poirier vs. McGregor 3,"Las Vegas, Nevada",15760000,1800000,1
