Date,Event,Title,City,Gate,Buyrate,COVID
2006-11-18,UFC 65,Hughes vs. St-Pierre,"Sacramento, California"," $2,138,020 ",500000,0
2007-04-07,UFC 69,St-Pierre vs. Serra,"Houston, Texas"," $2,817,200 ",400000,0
2007-12-29,UFC 79,St-Pierre vs. Hughes 2,"Las Vegas, Nevada"," $4,994,000 ",650000,0
4/19/2008,UFC 83,Serra vs. St-Pierre 2,"Montreal, Quebec, Canada","$5,100,000 ",530000,0
2008-08-09,UFC 87,St-Pierre vs. Fitch,"Minneapolis, Minnesota"," $2,252,000 ",625000,0
1/31/2009,UFC 94,St-Pierre vs. Penn 2,"Las Vegas, Nevada","$4,290,020 ",920000,0
2009-07-11,UFC 100,UFC 100,"Las Vegas, Nevada",5101740,1600000,0
3/27/2010,UFC 111,St-Pierre vs. Hardy,"Newark, New Jersey","$4,000,000 ",770000,0
12/11/2010,UFC 124,St-Pierre vs. Koscheck 2,"Montreal, Quebec, Canada","$4,600,000 ",800000,0
4/30/2011,UFC 129,St-Pierre vs. Shields,"Toronto, Ontario, Canada","$12,075,000 ",800000,0
11/17/2012,UFC 154,St-Pierre vs. Condit,"Montreal, Quebec, Canada","$3,143,000 ",700000,0
3/16/2013,UFC 158,St-Pierre vs. Diaz,"Montreal, Quebec, Canada","$3,600,000 ",950000,0
11/16/2013,UFC 167,St-Pierre vs. Hendricks,"Las Vegas, Nevada","$5,800,000 ",630000,0
11/4/2017,UFC 217,Bisping vs. St-Pierre,"New York City, New York","$6,200,000 ",875000,0
