Date,Event,Title,City,Gate,Buyrate,COVID
3/21/2010,UFC Live,Vera vs. Jones,"Broomfield, Colorado"," $570,000 ",NULL,0
8/1/2010,UFC Live,Jones vs. Matyushenko,"San Diego, California"," $490,000 ",NULL,0
3/19/2011,UFC 128,Shogun vs Jones,"Newark, New Jersey"," $2,140,000 ",490000,0
9/24/2011,UFC 135,Jones vs. Rampage,"Denver, Colorado"," $2,100,000 ",520000,0
12/10/2011,UFC 140,Jones vs. Machida,"Toronto, Ontario, Canada"," $3,900,000 ",480000,0
4/21/2012,UFC 145,Jones vs. Evans,"Atlanta, Georgia"," $2,200,000 ",NULL,0
9/22/2012,UFC 152,Jones vs. Belfort,"Toronto, Ontario, Canada"," $1,921,000 ",450000,0
4/27/2013,UFC 159,Jones vs. Sonnen,"Newark, New Jersey"," $2,700,000 ",530000,0
9/21/2013,UFC 165,Jones vs. Gustafsson,"Toronto, Ontario, Canada"," $1,900,000 ",310000,0
4/26/2014,UFC 172,Jones vs. Teixeira,"Baltimore, Maryland"," $2,300,000 ",350000,0
1/3/2015,UFC 182,Jones vs. Cormier,"Las Vegas, Nevada"," $3,700,000 ",800000,0
4/23/2016,UFC 197,Jones vs. Saint Preux,"Las Vegas, Nevada"," $2,300,000 ",322000,0
7/29/2017,UFC 214,Cormier vs. Jones 2,"Anaheim, California"," $2,450,000 ",860000,0
12/29/2018,UFC 232,Jones vs. Gustafsson 2,"Las Vegas, Nevada"," $2,100,000 ",NULL,0
3/2/2019,UFC 235,Jones vs. Smith,"Las Vegas, Nevada"," $4,000,000 ",NULL,0
7/6/2019,UFC 239,Jones vs. Santos,"Las Vegas, Nevada"," $6,100,000 ",NULL,0
2/8/2020,UFC 247,Jones vs. Reyes,"Houston, Texas"," $3,550,000 ",NULL,0
3/4/2023,UFC 285,Jones vs. Gane,"Las Vegas, Nevada"," $12,150,000 ",NULL,0
11/16/2024,UFC 309,Jones vs. Miocic,"New York City, New York"," $16,700,000 ",NULL,0
